"country","iso_code","continent","cases","inf_rate","deaths","death_rate","population","pop_density","median_age","pct_over_65","pct_over_70","life_expectancy","gdp_pc","pct_extreme_poverty","pct_diabetes","pct_male_smokers","pct_female_smokers","pct_pop_access_handwash","hospital_beds_per_thousand","response","bci_bci","bci_bcistd","ciri_assn","ciri_dommov","ciri_elecsd","ciri_speech","cspf_sfi","fh_aor","fh_cl","fh_feb","fh_fog","fh_pair","fh_polity2","fh_ppp","fh_pr","fhp_mcei5","fhp_status5","fi_index","gpi_gpi","p_durable","undp_hdi","vdem_polyarchy","voh_gti","wbgi_gee","wbgi_pve","wbgi_rle","wbgi_rqe","wdi_acel","wdi_chexppgdp","wdi_dgovhexp","wdi_dprivhexp","wdi_export","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_gdpcapgr","wdi_gdppppcur","wdi_gini","wdi_imig","wdi_import","wdi_incsh10h","wdi_inflation","wdi_lifexp","wdi_migration","wdi_ophexp","wdi_pop","wdi_popgr","wdi_popurb","wdi_unempilo","who_halet","who_infmortt","who_let","wdi_smop","epi_h2o"
"Sao Tome and Principe","STP","Africa",6177,6.34840698869476,76,0.0781089414182939,223107,212.841,18.7,2.886,2.162,70.39,3052.714,32.3,2.42,NA,NA,41.34,2.9,NA,43.527523,4.8353949,2,2,2,2,NA,11,2,15,9,11,NA,15,2,13,1,NA,NA,NA,0.625,0.695,NA,-0.64474106,0.48179284,-0.68573606,-0.90148669,75.1819076538086,6.26645994,2.75483108,16.32715225,NA,5.65989290910398,0.180465436689197,4.267,1.15503808250499,936715813.464226,56.3,1.25772285966461,NA,49.1,7.85706431333533,70.385,-8401,14.99686718,219161,1.89453605124968,74.354,13.86,61.6,23.5,70.4,10.9,35.200001
"Saudi Arabia","SAU","Asia",814088,836.678314491264,9310,9.56834532374101,35950396,15.322,31.9,3.295,1.845,75.13,49045.411,NA,17.72,25.4,1.8,NA,2.7,11.11,27.138605,1.740194,0,0,0,0,8,0,7,2,1,2,0,0,7,25,3,6.85,2.39,92,0.854,0.016,5,0.14608687,-0.66109592,0.24063258,0.26439539,100,6.3615365,3.97201705,37.5619812,26.342634301564,0.575380135889993,0.693341637550703,2.275,-5.60869531475211,1627982385780.75,NA,32.2949424946542,24.2597454479028,NA,3.44545825956691,75.133,674895,14.36619282,34813867,1.57883732958732,84.287,8.22,64,5.7,74.3,33.2,59.299999
"Senegal","SEN","Africa",88153,90.5991778006166,1968,2.02261048304214,16876720,82.328,18.7,3.008,1.796,67.94,2470.58,38,2.42,16.6,0.4,20.859,NA,32.41,50.447594,2.235297,1,1,1,1,10,9,3,13,8,11,8,12,3,14,2,6.25,1.871,18,0.512,0.747,0.391,0.010891097,-0.020732857,-0.27557021,-0.20783339,70.4,3.97799659,0.94568121,62.5045166,22.4208921541514,4.21921022823211,0.488642457292881,4.556,-1.82587406157577,58290809640.2008,40.3,1.73995141736156,36.8954743223083,31,2.54743464570552,67.941,-100001,55.89098358,16743930,2.70939118149213,48.122,7.1,59.4,32.7,68.6,18.1,13.1
"Serbia","SRB","Europe",2304039,2367.97430626927,16779,17.2446043165468,6871547,80.291,41.2,17.366,NA,76,14048.881,NA,10.08,40.2,37.7,97.719,5.609,11.11,52.242283,2.2955451,1,1,2,1,3,9,3,12,5,12,7.833333,10,4,13,2,7.22,1.767,12,0.806,0.342,0.057,0.032404829,-0.092866421,-0.18485798,0.12026365,99.8,8.53899002,5.0694294,39.94747543,47.9886418741307,8.29277878317044,0.24526743503673,1.52,-0.449210715037765,132849500138.246,36.2,9.12262208400769,56.8909799946269,25.6,1.57553290083409,75.6853658536585,20000,38.31093597,6908224,-0.534322699558648,56.446,9.08,66.9,4.6,75.9,81.2,65.5
"Seychelles","SYC","Africa",46175,47.4563206577595,169,0.173689619732785,106470,208.354,36.2,8.606,5.586,73.4,26382.287,1.1,10.55,35.7,7.1,NA,3.6,22.22,49.084053,2.2368579,1,2,1,0,NA,9,3,12,9,11,NA,13,2,17,2,7.63,NA,NA,0.796,0.574,NA,0.51164931,0.71666181,0.20921186,-0.1309807,100,5.11036491,3.80567455,25.16043854,77.1911570844845,16.0543649809229,-0.643808583132851,2.34,-11.4794291171066,2530446724.08251,32.1,13.2589068217392,111.384975933006,24,1.80611159983627,73.9439024390244,-1000,23.53649521,98462,0.853707878128979,57.546,NA,64,12.3,73.3,42.2,51.400002
"Sierra Leone","SLE","Africa",7749,7.96402877697842,126,0.129496402877698,8420641,104.7,19.1,2.538,1.285,54.7,1390.3,52.2,2.42,41.3,8.8,19.275,NA,42.61,63.296494,2.62532,1,1,1,1,13,6,3,12,7,10,7.583333,11,3,16,2,6.15,1.872,16,0.452,0.574,0.229,-1.0164852,-0.24366209,-0.75644261,-0.8576535,22.7,16.06307983,1.56026566,64.41017151,12.8281444287588,8.30834186034369,-0.001290581191021,4.169,-4.17122992037365,13868437741.6631,35.7,1.41345729487955,37.3299470508918,29.4,13.4469773031285,54.696,-21000,44.77674484,7976985,2.07450135530529,42.923,4.6,52.9,80.9,60.8,39.5,11.5
"Singapore","SGP","Asia",1852286,1903.68550873587,1601,1.64542651593011,5453600,7915.731,42.4,12.922,7.049,83.62,85535.383,NA,10.99,28.3,5.2,NA,2.4,17.59,11.137804,1.864347,1,1,1,0,3,3,4,8,7,11,4.5,8,4,21,3,8.81,1.304,53,0.938,0.389,0,2.3352997,1.4650743,1.8803819,2.2056067,100,4.46444654,2.24764204,49.65463257,176.240871003136,32.1698371084041,9.52224289780156,1.14,-5.09547062891869,560199560942.663,NA,45.3917919104027,144.322642768781,NA,-0.181916666666656,83.4975609756098,135142,31.0351429,5685807,-0.311904961250833,100,5.19,73.6,2.1,83.2,32.9,93.199997
"Sint Maarten (Dutch part)","SXM","North America",NA,NA,NA,NA,44042,1209.088,NA,NA,NA,78.95,36327.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","SVK","Europe",2580748,2652.36176772867,20236,20.79753340185,5447622,113.128,41.2,15.07,9.167,77.54,30155.152,0.7,7.29,37.7,23.1,NA,5.82,11.11,57.442677,2.4341891,2,2,1,1,1,12,1,15,10,14,9.583334,15,1,9,1,7.61,1.581,25,0.86,0.836,0.029,0.54407942,0.63925719,0.67851913,0.78447789,100,6.68639565,5.29823923,20.76090813,85.7075023067471,2.2000619955634,1.76109945972251,1.56,-4.83598203353669,173767535169.031,25,3.26541789940692,84.8985467083764,19.5,1.9369412669422,77.4707317073171,7423,18.90775299,5458827,0.0857694756149868,53.76,6.79,68.5,4.7,78.2,64.6,71.800003
"Slovenia","SVN","Europe",1136236,1167.76567317575,6789,6.97738951695786,2119410,102.619,44.5,19.062,12.93,81.32,31400.84,NA,7.25,25,20.1,NA,4.5,11.11,40.11031,2.1020961,2,2,2,1,0,12,1,15,11,14,10,16,1,9,1,7.43,1.349,27,0.917,0.748,0,1.1662431,0.7064864,1.0664885,0.92203718,100,8.29891014,6.0091486,27.59111595,78.7079359217307,3.15639977007131,1.55037212453701,1.61,-6.06034108453083,83150934382.2123,24.6,11.4129640933173,68.8292117407636,21,-0.0548568157606067,81.280487804878,9999,11.98157787,2100126,0.560630293306558,55.118,5.17,70.7,1.7,81.3,45.4,74.699997
"Solomon Islands","SLB","Oceania",21544,22.141829393628,153,0.157245632065776,707851,21.841,20.8,3.507,2.043,73,2205.923,25.1,18.68,NA,NA,35.89,1.4,30.85,48.360394,4.1419768,2,2,1,2,9,10,2,16,7,12,8.666666,14,2,11,1,NA,NA,14,0.567,0.648,NA,-0.91271871,0.63573307,-0.099541619,-0.83830065,70.2584915161133,4.47443104,3.53729272,2.14655137,27.6665881798917,2.08806314196713,0.214448916010367,4.361,-6.69331588516656,1799083913.18333,37.1,0.442947201036342,36.0646731025822,29.2,2.96354992076069,72.996,-7998,2.14655137,686878,2.5146180244063,24.67,0.79,57.8,16.8,65.2,75.8,14
